fitness,benefit,cost,numLost,numFixed,numTotal,percentFixed
-1,0,0,999830,170,1000000,1.7e-4
-1,0.19,0.1,1000000,0,1000000,0
-1,0.196,0.1,999962,38,1000000,3.8e-5
-1,0.197,0.1,999953,47,1000000,4.7e-5
-1,0.198,0.1,999906,94,1000000,9.4e-5
-1,0.199,0.1,999882,118,1000000,1.18e-4
-1,0.2,0.1,999818,182,1000000,1.82e-4
-1,0.201,0.1,999705,295,1000000,2.95e-4
-1,0.21,0.1,998120,1880,1000000,0.00188
-0.014,0,0,999831,169,1000000,1.69e-4
-0.014,0.19,0.1,999989,11,1000000,1.1e-5
-0.014,0.196,0.1,999926,74,1000000,7.4e-5
-0.014,0.197,0.1,999916,84,1000000,8.4e-5
-0.014,0.198,0.1,999899,101,1000000,1.01e-4
-0.014,0.199,0.1,999847,153,1000000,1.53e-4
-0.014,0.2,0.1,999823,177,1000000,1.77e-4
-0.014,0.201,0.1,999753,247,1000000,2.47e-4
-0.014,0.21,0.1,999016,984,1000000,9.84e-4
-0.012,0,0,999829,171,1000000,1.71e-4
-0.012,0.19,0.1,999980,20,1000000,2e-5
-0.012,0.196,0.1,999918,82,1000000,8.2e-5
-0.012,0.197,0.1,999909,91,1000000,9.1e-5
-0.012,0.198,0.1,999868,132,1000000,1.32e-4
-0.012,0.199,0.1,999861,139,1000000,1.39e-4
-0.012,0.2,0.1,999835,165,1000000,1.65e-4
-0.012,0.201,0.1,999780,220,1000000,2.2e-4
-0.012,0.21,0.1,999199,801,1000000,8.01e-4
-0.01,0,0,999847,153,1000000,1.53e-4
-0.01,0.19,0.1,999980,20,1000000,2e-5
-0.01,0.196,0.1,999915,85,1000000,8.5e-5
-0.01,0.197,0.1,999894,106,1000000,1.06e-4
-0.01,0.198,0.1,999876,124,1000000,1.24e-4
-0.01,0.199,0.1,999860,140,1000000,1.4e-4
-0.01,0.2,0.1,999828,172,1000000,1.72e-4
-0.01,0.201,0.1,999778,222,1000000,2.22e-4
-0.01,0.21,0.1,999277,723,1000000,7.23e-4
-0.008,0,0,999832,168,1000000,1.68e-4
-0.008,0.19,0.1,999979,21,1000000,2.1e-5
-0.008,0.196,0.1,999921,79,1000000,7.9e-5
-0.008,0.197,0.1,999884,116,1000000,1.16e-4
-0.008,0.198,0.1,999877,123,1000000,1.23e-4
-0.008,0.199,0.1,999871,129,1000000,1.29e-4
-0.008,0.2,0.1,999821,179,1000000,1.79e-4
-0.008,0.201,0.1,999788,212,1000000,2.12e-4
-0.008,0.21,0.1,999330,670,1000000,6.7e-4
-0.006,0,0,999815,185,1000000,1.85e-4
-0.006,0.19,0.1,999970,30,1000000,3e-5
-0.006,0.196,0.1,999905,95,1000000,9.5e-5
-0.006,0.197,0.1,999891,109,1000000,1.09e-4
-0.006,0.198,0.1,999850,150,1000000,1.5e-4
-0.006,0.199,0.1,999856,144,1000000,1.44e-4
-0.006,0.2,0.1,999837,163,1000000,1.63e-4
-0.006,0.201,0.1,999805,195,1000000,1.95e-4
-0.006,0.21,0.1,999302,698,1000000,6.98e-4
0,0,0,999837,163,1000000,1.63e-4
0,0.19,0.1,1000000,0,1000000,0
0,0.196,0.1,999980,20,1000000,2e-5
0,0.197,0.1,999946,54,1000000,5.4e-5
0,0.198,0.1,999935,65,1000000,6.5e-5
0,0.199,0.1,999862,138,1000000,1.38e-4
0,0.2,0.1,999797,203,1000000,2.03e-4
0,0.201,0.1,999742,258,1000000,2.58e-4
0,0.21,0.1,998108,1892,1000000,0.001892
