fitness,benefit,cost,litterSize,recom_rate,numLost,numFixed,numTotal,percentFixed
-1,0.19,0.1,4,1e-12,999998,2,1000000,2e-6
-1,0.19,0.1,4,1e-4,999999,1,1000000,1e-6
-0.014,0.19,0.1,4,1e-12,999987,13,1000000,1.3e-5
-0.014,0.19,0.1,4,1e-4,1000000,0,1000000,0
-0.012,0.19,0.1,4,1e-12,999971,29,1000000,2.9e-5
-0.012,0.19,0.1,4,1e-4,999999,1,1000000,1e-6
-0.01,0.19,0.1,4,1e-12,999968,32,1000000,3.2e-5
-0.01,0.19,0.1,4,1e-4,999999,1,1000000,1e-6
-0.008,0.19,0.1,4,1e-12,999953,47,1000000,4.7e-5
-0.008,0.19,0.1,4,1e-4,1000000,0,1000000,0
-0.006,0.19,0.1,4,1e-12,999956,44,1000000,4.4e-5
-0.006,0.19,0.1,4,1e-4,1000000,0,1000000,0
0,0.19,0.1,4,1e-12,999999,1,1000000,1e-6
0,0.19,0.1,4,1e-4,999999,1,1000000,1e-6
-1,0.2,0.1,4,1e-12,999792,207,999999,2.07000207000207e-4
-1,0.2,0.1,4,1e-4,999780,219,999999,2.19000219000219e-4
-0.014,0.2,0.1,4,1e-12,999801,199,1000000,1.99e-4
-0.014,0.2,0.1,4,1e-4,999803,197,1000000,1.97e-4
-0.012,0.2,0.1,4,1e-12,999824,176,1000000,1.76e-4
-0.012,0.2,0.1,4,1e-4,999805,194,999999,1.94000194000194e-4
-0.01,0.2,0.1,4,1e-12,999838,162,1000000,1.62e-4
-0.01,0.2,0.1,4,1e-4,999798,200,999998,2.000004000008e-4
-0.008,0.2,0.1,4,1e-12,999832,168,1000000,1.68e-4
-0.008,0.2,0.1,4,1e-4,999809,190,999999,1.9000019000019e-4
-0.006,0.2,0.1,4,1e-12,999803,197,1000000,1.97e-4
-0.006,0.2,0.1,4,1e-4,999808,191,999999,1.91000191000191e-4
0,0.2,0.1,4,1e-12,999788,211,999999,2.11000211000211e-4
0,0.2,0.1,4,1e-4,999814,183,999997,1.8300054900164702e-4
-1,0.2,0.1,4,1e-12,1,0,1,0
-1,0.2,0.1,4,1e-4,1,0,1,0
-1,0.21,0.1,4,1e-12,998152,1848,1000000,0.001848
-1,0.21,0.1,4,1e-4,998104,1896,1000000,0.001896
-0.014,0.21,0.1,4,1e-12,999248,752,1000000,7.52e-4
-0.014,0.21,0.1,4,1e-4,998038,1962,1000000,0.001962
-0.012,0.2,0.1,4,1e-4,1,0,1,0
-0.012,0.21,0.1,4,1e-12,999333,667,1000000,6.67e-4
-0.012,0.21,0.1,4,1e-4,998078,1922,1000000,0.001922
-0.01,0.2,0.1,4,1e-4,2,0,2,0
-0.01,0.21,0.1,4,1e-12,999448,552,1000000,5.52e-4
-0.01,0.21,0.1,4,1e-4,997975,2025,1000000,0.002025
-0.008,0.2,0.1,4,1e-4,1,0,1,0
-0.008,0.21,0.1,4,1e-12,999480,520,1000000,5.2e-4
-0.008,0.21,0.1,4,1e-4,998051,1949,1000000,0.001949
-0.006,0.2,0.1,4,1e-4,1,0,1,0
-0.006,0.21,0.1,4,1e-12,999481,519,1000000,5.19e-4
-0.006,0.21,0.1,4,1e-4,998034,1966,1000000,0.001966
0,0.2,0.1,4,1e-12,1,0,1,0
0,0.2,0.1,4,1e-4,3,0,3,0
0,0.21,0.1,4,1e-12,998000,2000,1000000,0.002
0,0.21,0.1,4,1e-4,998021,1979,1000000,0.001979
-1,0.19,0.1,NA,1e-8,1000000,0,1000000,0
-1,0.2,0.1,NA,1e-8,999818,182,1000000,1.82e-4
-1,0.21,0.1,NA,1e-8,998120,1880,1000000,0.00188
-0.014,0.19,0.1,NA,1e-8,999989,11,1000000,1.1e-5
-0.014,0.2,0.1,NA,1e-8,999823,177,1000000,1.77e-4
-0.014,0.21,0.1,NA,1e-8,999016,984,1000000,9.84e-4
-0.012,0.19,0.1,NA,1e-8,999980,20,1000000,2e-5
-0.012,0.2,0.1,NA,1e-8,999835,165,1000000,1.65e-4
-0.012,0.21,0.1,NA,1e-8,999199,801,1000000,8.01e-4
-0.01,0.19,0.1,NA,1e-8,999980,20,1000000,2e-5
-0.01,0.2,0.1,NA,1e-8,999828,172,1000000,1.72e-4
-0.01,0.21,0.1,NA,1e-8,999277,723,1000000,7.23e-4
-0.008,0.19,0.1,NA,1e-8,999979,21,1000000,2.1e-5
-0.008,0.2,0.1,NA,1e-8,999821,179,1000000,1.79e-4
-0.008,0.21,0.1,NA,1e-8,999330,670,1000000,6.7e-4
-0.006,0.19,0.1,NA,1e-8,999970,30,1000000,3e-5
-0.006,0.2,0.1,NA,1e-8,999837,163,1000000,1.63e-4
-0.006,0.21,0.1,NA,1e-8,999302,698,1000000,6.98e-4
0,0.19,0.1,NA,1e-8,1000000,0,1000000,0
0,0.2,0.1,NA,1e-8,999797,203,1000000,2.03e-4
0,0.21,0.1,NA,1e-8,998108,1892,1000000,0.001892
